종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"035420","NAVER","108301521","121826603","13525082","26042181644150","29396819366750","3354637722600"
"000660","SK하이닉스","263740115","261218990","-2521125","84673204421250","86819645499250","2146441078000"
"006400","삼성SDI","58612887","67910955","9298068","13515090104550","15331784483650","1816694379100"
"042660","한화오션","601007940","613392855","12384915","49628617677250","50866098032850","1237480355600"
"034020","두산에너빌리티","1308245129","1306694689","-1550440","61345510872245","62234129448075","888618575830"
"017670","SK텔레콤","44513093","60899871","16386778","2441249037450","3304898139700","863649102250"
"0126Z0","삼성에피스홀딩스","27564366","29547180","1982814","15090232446000","15909464737250","819232291250"
"005380","현대차","70575460","75219646","4644186","16396268532800","17043955823900","647687291100"
"064400","LG씨엔에스","149674937","159436061","9761124","9711138040800","10341503601325","630365560525"
"097950","CJ제일제당","5157527","7711313","2553786","1245978897000","1833215484000","587236587000"
"377300","카카오페이","145220575","150422163","5201588","9335586202975","9816662885550","481076682575"
"042700","한미반도체","172256029","178516993","6260964","18166364971800","18647122521450","480757549650"
"097230","HJ중공업","677521404","699865624","22344220","13084816798970","13523293839935","438477040965"
"003490","대한항공","143012120","164265670","21253550","3349954058125","3787688877380","437734819255"
"051900","LG생활건강","3702392","4967407","1265015","1137709187500","1499761577250","362052389750"
"011200","HMM","229895625","245456466","15560841","4877146848980","5221127745765","343980896785"
"323410","카카오뱅크","111056869","123940233","12883364","3141860938165","3468683980385","326823042220"
"005387","현대차2우B","12709413","14678155","1968742","2196688572650","2475213426100","278524853450"
"000100","유한양행","90821248","93240883","2419635","11245742034550","11516104234950","270362200400"
"009830","한화솔루션","355503133","365389093","9885960","10349864904610","10605959529185","256094624575"
"450080","에코프로머티","86475495","90981401","4505906","5467462534825","5719558793525","252096258700"
"005070","코스모신소재","75637312","80455024","4817712","3704285384350","3928422319075","224136934725"
"036570","엔씨소프트","10239396","11545917","1306521","1985389310100","2209365230550","223975920450"
"011790","SKC","59468521","61653893","2185372","7665572993350","7885230454650","219657461300"
"439260","대한조선","60633629","63268767","2635138","5174721570350","5391734469700","217012899350"
"005385","현대차우","11374109","12750650","1376541","1945296204850","2154781002700","209484797850"
"090430","아모레퍼시픽","27988118","29887845","1899727","3493114788950","3698662840750","205548051800"
"066570","LG전자","59159295","62703326","3544031","4882574823600","5080831447100","198256623500"
"010140","삼성중공업","1197670669","1208193781","10523112","20082056963490","20279843403880","197786440390"
"010130","고려아연","2871263","3021093","149830","2934042382000","3111331805500","177289423500"
"004370","농심","4213285","4590162","376877","1791008500000","1957508799750","166500299750"
"204320","HL만도","39660766","43298219","3637453","1824047976000","1985957246350","161909270350"
"066970","엘앤에프","59264162","62018707","2754545","5218913719625","5375846309175","156932589550"
"161890","한국콜마","22773394","24662542","1889148","1691203820800","1845658326450","154454505650"
"192820","코스맥스","7879669","8689150","809481","1523463111900","1676369232950","152906121050"
"103140","풍산","49459743","50219619","759876","4933224639275","5059962363525","126737724250"
"489790","한화비전","191577565","195024850","3447285","9550894152825","9674448313025","123554160200"
"003670","포스코퓨처엠","51957026","52777025","819999","8162933784800","8279028417800","116094633000"
"001570","금양","111166630","116644114","5477484","1944792150845","2052792736230","108000585385"
"462870","시프트업","19746813","22008110","2261297","1038444742830","1141573289825","103128546995"
"051600","한전KPS","30560052","32563919","2003867","1566069195375","1662739587250","96670391875"
"009420","한올바이오파마","72902996","75928480","3025484","2834288363950","2927487573825","93199209875"
"051915","LG화학우","5935532","6719225","783693","853270240250","937890030900","84619790650"
"000155","두산우","6174168","6522296","348128","2187937357750","2271029638650","83092280900"
"000080","하이트진로","16747217","21062076","4314859","329743376840","411070265885","81326889045"
"009450","경동나비엔","7804808","9047067","1242259","623857148600","703280553650","79423405050"
"082740","한화엔진","291668251","295285955","3617704","9350285738510","9428568222855","78282484345"
"483650","달바글로벌","28572306","28957279","384973","4362179589800","4423379162550","61199572750"
"302440","SK바이오사이언스","16871399","18306454","1435055","824618391975","883016978850","58398586875"
"251270","넷마블","13912595","15243924","1331329","746873184350","803441382850","56568198500"
"317450","명인제약","20519125","21183070","663945","2131671350100","2187256680200","55585330100"
"214320","이노션","6804073","9868273","3064200","126888155720","181749540765","54861385045"
"007310","오뚜기","525526","662584","137058","210478013500","264634938750","54156925250"
"006280","녹십자","4779075","5225039","445964","673993407400","727760719750","53767312350"
"344820","KCC글라스","3775078","5550593","1775515","115305799600","168532860300","53227060700"
"128940","한미약품","9909273","10207886","298613","3541981497750","3594499516500","52518018750"
"075580","세진중공업","221375084","224550693","3175609","3722408888315","3774733501380","52324613065"
"249420","일동제약","278199560","280731322","2531762","8223741059400","8271380098540","47639039140"
"480370","씨케이솔루션","64195449","66156750","1961301","1032189277015","1078821235690","46631958675"
"005180","빙그레","5122426","5754657","632231","434804150650","479751898950","44947748300"
"077970","STX엔진","90656292","92491723","1835431","2866731205210","2911432357150","44701151940"
"112610","씨에스윈드","41297551","42598264","1300713","1840856565784","1884001290400","43144724616"
"456040","OCI","5786975","6522446","735471","345185995250","387535615675","42349620425"
"178920","PI첨단소재","13115501","15571926","2456425","244723092390","286371895975","41648803585"
"100090","SK오션플랜트","187897012","189052477","1155465","4403741245530","4444554013935","40812768405"
"145720","덴티움","5235911","5983832","747921","346240080050","386284814750","40044734700"
"241590","화승엔터프라이즈","24451750","30168011","5716261","197316723671","235443219476","38126495805"
"062040","산일전기","81996791","83064652","1067861","8179715162750","8217568076000","37852913250"
"336370","솔루스첨단소재","52958835","57283062","4324227","517520578055","555128369425","37607791370"
"185750","종근당","3523495","3983569","460074","301038590150","338639645400","37601055250"
"272450","진에어","15415823","19740448","4324625","135560907450","172637141725","37076234275"
"017800","현대엘리베이터","18198340","18532466","334126","1352679211050","1389675372650","36996161600"
"0120G0","삼양바이오팜","16281265","16895445","614180","997394983250","1033460428100","36065444850"
"071050","한국금융지주","13795328","13496438","-298890","1862981393950","1898566649550","35585255600"
"014830","유니드","4636842","5112076","475234","369604197950","404211771350","34607573400"
"006110","삼아알미늄","16030471","17441716","1411245","421043332220","454977736860","33934404640"
"019490","엑시큐어하이트론","482821036","509185592","26364556","469679540387","503175858971","33496318584"
"002710","TCC스틸","28732527","30641384","1908857","639420630055","672781809140","33361179085"
"039130","하나투어","5949785","6676803","727018","312776256175","345440446625","32664190450"
"016360","삼성증권","30000786","30429161","428375","1971614971275","2003830978650","32216007375"
"089590","제주항공","21026245","25660742","4634497","144024848880","175676418060","31651569180"
"005420","코스모화학","28007777","30053104","2045327","502067159135","533476758820","31409599685"
"025540","한국단자","2701631","3220344","518713","182353846500","213686383200","31332536700"
"051905","LG생활건강우","728666","984956","256290","90305897850","121542764850","31236867000"
"037270","YG PLUS","448975421","453700283","4724862","3058325802577","3088790843276","30465040699"
"079160","CJ CGV","52429185","58642040","6212855","279047558934","309326881478","30279322544"
"272210","한화시스템","546878856","549242817","2363961","22393209985250","22421415932600","28205947350"
"009470","삼화전기","16593873","17489968","896095","607477412575","634940763450","27463350875"
"217590","티엠씨","76305898","77744464","1438566","1557020647655","1584242440020","27221792365"
"004490","세방전지","5887144","6316000","428856","412040720700","439143255300","27102534600"
"006360","GS건설","47085676","48925537","1839861","924415742045","951380416140","26964674095"
