종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,year
005930,삼성전자,1599948818,1777118118,177169300,90650166661550,100245348044650,9595181383100,2020
005935,삼성전자우,264104991,376253599,112148608,13549378702150,19650688420250,6101309718100,2020
005380,현대차,266039842,287136269,21096427,37402400321300,39992372048900,2589971727600,2020
035420,NAVER,74230248,82119282,7889034,19362448495000,21414918105000,2052469610000,2020
055550,신한지주,203277379,246800319,43522940,6356278836450,7649362698050,1293083861600,2020
035720,카카오,135763529,139104129,3340600,38762872570000,39980024697500,1217152127500,2020
034730,SK,56168875,60911684,4742809,13685369122000,14871717859000,1186348737000,2020
015760,한국전력,554880448,608533646,53653198,12406710524100,13503946266550,1097235742450,2020
000660,SK하이닉스,390610945,402819080,12208135,34164243478200,35036164863600,871921385400,2020
033780,KT&G,37273456,46115777,8842321,3118311844700,3835430858300,717119013600,2020
017670,SK텔레콤,28097033,31130542,3033509,6293986470000,6904048286500,610061816500,2020
105560,KB금융,176951879,194363604,17411725,6632004905900,7221377388050,589372482150,2020
012330,현대모비스,32662460,35758936,3096476,7135621144500,7697664932000,562043787500,2020
096770,SK이노베이션,131075619,136804300,5728681,18085011445600,18569413608700,484402163100,2020
010950,S-Oil,72254734,79053300,6798566,4761633178300,5213537840550,451904662250,2020
000270,기아차,222649859,235399608,12749749,9470729707300,9922285787550,451556080250,2020
326030,SK바이오팜,71281208,73550789,2269581,13648553629500,14090595679000,442042049500,2020
024110,기업은행,307232050,358381934,51149884,2627591166100,3067200921370,439609755270,2020
008770,호텔신라,101778769,107813501,6034732,8099140607100,8519752786500,420612179400,2020
352820,빅히트,32076593,33744521,1667928,6309656973500,6729816560500,420159587000,2020
005930,삼성전자,1333128681,1719335941,386207260,107640863451100,138864731139100,31223867688000,2021
005935,삼성전자우,211119081,280012393,68893312,15437206981500,20537746494100,5100539512600,2021
012330,현대모비스,46807067,57251109,10444042,14238590108500,17389968149500,3151378041000,2021
035720,카카오,330515237,353501528,22986291,54408971319100,57311743601000,2902772281900,2021
005380,현대차,164214420,174408732,10194312,38583027723000,40961914060500,2378886337500,2021
000660,SK하이닉스,331266634,350593373,19326739,40730580728000,43020929119700,2290348391700,2021
066570,LG전자,238714658,253045857,14331199,36691326376500,38763399172000,2072072795500,2021
035420,NAVER,77103500,81495498,4391998,29541266961000,31152401237500,1611134276500,2021
326030,SK바이오팜,55710000,64699373,8989373,6703636029600,7847753899100,1144117869500,2021
011780,금호석유,62923239,67891463,4968224,14387045991500,15488368064000,1101322072500,2021
036570,엔씨소프트,22322785,23911282,1588497,16125581373000,17182543876000,1056962503000,2021
015760,한국전력,449402363,493531622,44129259,11034472576950,12077797830200,1043325253250,2021
068270,셀트리온,135531770,139411266,3879496,38624633332000,39624116306000,999482974000,2021
051900,LG생활건강,2084181,2757167,672986,3032333612000,3910643220000,878309608000,2021
005490,POSCO,41706458,44479610,2773152,13457016166000,14213575311500,756559145500,2021
009150,삼성전기,72240630,76858526,4617896,13373049648500,14119377988000,746328339500,2021
000270,기아,473852101,483525374,9673273,40381830757700,41117153529100,735322771400,2021
302440,SK바이오사이언스,205171679,208598271,3426592,46294116537500,46994205595000,700089057500,2021
033780,KT&G,53585373,61240322,7654949,4433857203900,5035795204000,601938000100,2021
096770,SK이노베이션,130113705,132659104,2545399,34296506436500,34887852414500,591345978000,2021
005930,삼성전자,710819133,953928382,243109249,45376817400000,61447088396300,16070270996300,2022
035420,NAVER,60471744,73239002,12767258,13982534164500,17208787181000,3226253016500,2022
035720,카카오,248313216,276849006,28535790,18527242912750,20789990627950,2262747715200,2022
000660,SK하이닉스,196083070,215434744,19351674,20355233627700,22071616252900,1716382625200,2022
005935,삼성전자우,97874518,126465258,28590740,5761719501850,7454335838700,1692616336850,2022
034020,두산에너빌리티,1025323938,1081993198,56669260,19223132029750,20312500797750,1089368768000,2022
323410,카카오뱅크,359403590,389218210,29814620,10896834612850,11929818391500,1032983778650,2022
066570,LG전자,99287572,106421856,7134284,10703469439900,11479528158800,776058718900,2022
009150,삼성전기,55571037,59881506,4310469,8371205471000,9099824252000,728618781000,2022
361610,SK아이이테크놀로지,49953994,56807625,6853631,4341302810450,4937928012900,596625202450,2022
051900,LG생활건강,4807525,5474126,666601,3631501467000,4195880888500,564379421500,2022
259960,크래프톤,27556109,28917182,1361073,7064399497603,7525968578500,461569080897,2022
005380,현대차,64095784,67493895,3398111,11673716384000,12133226504000,459510120000,2022
011070,LG이노텍,39394850,41018427,1623577,13428974073000,13886939940500,457965867500,2022
377300,카카오페이,98028831,103859095,5830264,6800297004750,7249146965450,448849960700,2022
352820,하이브,37615384,38936282,1320898,7440653240000,7875266288000,434613048000,2022
302440,SK바이오사이언스,87963818,90508327,2544509,11400755328600,11822465608100,421710279500,2022
000270,기아,122640215,130409581,7769366,9400887752800,9789294354900,388406602100,2022
005490,POSCO홀딩스,28198747,29947789,1749042,7660874168500,8048836297000,387962128500,2022
088980,맥쿼리인프라,96230119,119263269,23033150,1230852974100,1526509714250,295656740150,2022
005490,POSCO홀딩스,162287375,185934753,23647378,77247297712000,88579679763000,11332382051000,2023
051910,LG화학,19717862,23008228,3290366,12681750504000,14620490931000,1938740427000,2023
003670,포스코퓨처엠,154052429,157498439,3446010,51954688922400,53157278048000,1202589125600,2023
096770,SK이노베이션,82339596,89957646,7618050,14366855013600,15535531174100,1168676160500,2023
